,Dose_de_Radiacao,mAmp,Tempo_de_Exposicao
0,7.4,10,0.25
1,14.8,10,0.5
2,29.6,10,1.0
3,59.2,10,2.0
4,88.8,10,3.0
5,296.0,10,10.0
6,444.0,10,15.0
7,592.0,10,20.0
8,11.1,15,0.25
9,22.2,15,0.5
10,44.4,15,1.0
11,88.8,15,2.0
12,133.2,15,3.0
13,444.0,15,10.0
14,666.0,15,15.0
15,888.0,15,20.0
16,14.8,20,0.25
17,29.6,20,0.5
18,59.2,20,1.0
19,118.4,20,2.0
20,177.6,20,3.0
21,592.0,20,10.0
22,888.0,20,15.0
23,1184.0,20,20.0
24,22.2,30,0.25
25,44.4,30,0.5
26,88.8,30,1.0
27,177.6,30,2.0
28,266.4,30,3.0
29,888.0,30,10.0
30,1332.0,30,15.0
31,1776.0,30,20.0
32,29.6,40,0.25
33,59.2,40,0.5
34,118.4,40,1.0
35,236.8,40,2.0
36,355.2,40,3.0
37,1184.0,40,10.0
38,1776.0,40,15.0
39,2368.0,40,20.0
40,1776.0,40,15.0
41,266.4,30,3.0
42,666.0,15,15.0
43,592.0,10,20.0
44,177.6,20,3.0
45,1776.0,40,15.0
46,59.2,20,1.0
47,888.0,20,15.0
48,44.4,15,1.0
49,44.4,15,1.0
50,1184.0,20,20.0
51,236.8,40,2.0
52,2368.0,40,20.0
53,1184.0,20,20.0
54,29.6,10,1.0
55,592.0,20,10.0
56,14.8,10,0.5
57,1184.0,20,20.0
58,888.0,30,10.0
59,1184.0,40,10.0
60,14.8,10,0.5
61,177.6,20,3.0
62,29.6,40,0.25
63,88.8,15,2.0
64,592.0,20,10.0
65,22.2,30,0.25
66,88.8,30,1.0
67,177.6,30,2.0
68,888.0,15,20.0
69,666.0,15,15.0
70,29.6,10,1.0
71,355.2,40,3.0
72,444.0,10,15.0
73,177.6,20,3.0
74,11.1,15,0.25
75,1776.0,40,15.0
76,29.6,20,0.5
77,59.2,10,2.0
78,22.2,30,0.25
79,444.0,15,10.0
80,11.1,15,0.25
81,44.4,30,0.5
82,14.8,10,0.5
83,118.4,20,2.0
84,177.6,30,2.0
85,444.0,10,15.0
86,592.0,10,20.0
87,118.4,40,1.0
88,444.0,15,10.0
89,14.8,20,0.25
90,236.8,40,2.0
91,2368.0,40,20.0
92,59.2,10,2.0
93,14.8,10,0.5
94,296.0,10,10.0
95,59.2,10,2.0
96,266.4,30,3.0
97,29.6,20,0.5
98,44.4,30,0.5
99,59.2,40,0.5
100,22.2,15,0.5
101,236.8,40,2.0
102,444.0,15,10.0
103,1332.0,30,15.0
104,666.0,15,15.0
105,592.0,10,20.0
106,444.0,15,10.0
107,888.0,20,15.0
108,2368.0,40,20.0
109,177.6,20,3.0
110,888.0,15,20.0
111,29.6,20,0.5
112,1184.0,20,20.0
113,44.4,30,0.5
114,22.2,30,0.25
115,266.4,30,3.0
116,666.0,15,15.0
117,7.4,10,0.25
118,22.2,30,0.25
119,444.0,10,15.0
120,11.1,15,0.25
121,1184.0,20,20.0
122,7.4,10,0.25
123,592.0,10,20.0
124,1184.0,20,20.0
125,44.4,15,1.0
126,14.8,20,0.25
127,592.0,10,20.0
128,118.4,40,1.0
129,118.4,40,1.0
130,29.6,40,0.25
131,88.8,10,3.0
132,1776.0,40,15.0
133,177.6,30,2.0
134,444.0,10,15.0
135,11.1,15,0.25
136,592.0,10,20.0
137,88.8,15,2.0
138,59.2,40,0.5
139,29.6,40,0.25
140,888.0,20,15.0
141,1184.0,20,20.0
142,355.2,40,3.0
143,118.4,40,1.0
144,2368.0,40,20.0
145,592.0,20,10.0
146,88.8,30,1.0
147,118.4,40,1.0
148,7.4,10,0.25
149,118.4,40,1.0
